21,21,19,19,10,10,22,22,16,16,33,33,31,31,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,28,28,26,26,3,3,14,14,32,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,20,20,23,23,29,29,0,0,27,27,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,6,7,7,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

21,21,19,19,10,10,22,22,26,26,33,33,31,31,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,28,28,0,0,3,3,14,14,32,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,20,20,23,23,29,29,5,5,27,27,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,6,7,7,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

21,21,19,19,10,10,22,22,16,16,33,33,31,31,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,28,28,26,26,3,3,14,14,32,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,20,20,23,23,29,29,0,0,27,27,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,6,7,7,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

21,21,19,19,10,10,22,22,26,26,33,33,31,31,32,32,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,11,11,12,12,28,28,18,18,3,3,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,20,20,23,23,,,,,27,27,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,6,7,7,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

